dll,export,dll-hash,export-hash
kernel32.dll,BasepPostSuccessAppXExtension,0xd78acaf904a2cf36,0x94a59d45765a4b1e
kernel32.dll,BasepProcessInvalidImage,0xd78acaf904a2cf36,0x9ef0784dcaced925
kernel32.dll,BasepQueryAppCompat,0xd78acaf904a2cf36,0x31dd589d2222c8f
kernel32.dll,BasepReleaseAppXContext,0xd78acaf904a2cf36,0xd26f8e172427d686
kernel32.dll,BasepReleaseSxsCreateProcessUtilityStruct,0xd78acaf904a2cf36,0x683c3ce1964be5ae
kernel32.dll,BasepReportFault,0xd78acaf904a2cf36,0x5385f73f359d4305
kernel32.dll,BasepSetFileEncryptionCompression,0xd78acaf904a2cf36,0x5c585d52a794814c
kernel32.dll,Beep,0xd78acaf904a2cf36,0x2b3fe17f240f1c0e
kernel32.dll,BeginUpdateResourceA,0xd78acaf904a2cf36,0x12ffa8188966704b
kernel32.dll,BeginUpdateResourceW,0xd78acaf904a2cf36,0x12ffa81e6b593419
kernel32.dll,BindIoCompletionCallback,0xd78acaf904a2cf36,0x5969c0e511df80b3
kernel32.dll,BuildCommDCBA,0xd78acaf904a2cf36,0x4ff0349469aec130
kernel32.dll,BuildCommDCBAndTimeoutsA,0xd78acaf904a2cf36,0x49bf11532eb211d7
kernel32.dll,BuildCommDCBAndTimeoutsW,0xd78acaf904a2cf36,0x49bf114ffa41a903
kernel32.dll,BuildCommDCBW,0xd78acaf904a2cf36,0x4ff03492e0072de7
kernel32.dll,CallNamedPipeA,0xd78acaf904a2cf36,0x12cae963ba45a544
kernel32.dll,CallNamedPipeW,0xd78acaf904a2cf36,0x12cae97a2ecd8dfa
kernel32.dll,CallbackMayRunLong,0xd78acaf904a2cf36,0xc954d16da709082a
kernel32.dll,CancelDeviceWakeupRequest,0xd78acaf904a2cf36,0xf6aff77a304fd4ec
kernel32.dll,CancelIo,0xd78acaf904a2cf36,0x51165d35818e9d34
kernel32.dll,CancelIoEx,0xd78acaf904a2cf36,0x80da136055267eef
kernel32.dll,CancelSynchronousIo,0xd78acaf904a2cf36,0xd47b069051d25b48
kernel32.dll,CancelThreadpoolIo,0xd78acaf904a2cf36,0xa830b9bc8a9c60a7
kernel32.dll,CancelTimerQueueTimer,0xd78acaf904a2cf36,0xb771672c11ffd835
kernel32.dll,CancelWaitableTimer,0xd78acaf904a2cf36,0x55be36a94be166bb
kernel32.dll,CeipIsOptedIn,0xd78acaf904a2cf36,0x8a0b95a48d8f0d6a
kernel32.dll,ChangeTimerQueueTimer,0xd78acaf904a2cf36,0xc75b34906de273ee
